Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-1-M-M-S-92,Institute of Rural Management Anand,Anand,Gujarat,43.62,66.66,4.29,83.98,44.64,10.69,2018,43
IR-5-M-OEMAP-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,43.21,58.86,26.85,52.06,54.96,15.89,2018,44
IR-1-M-M-S-354,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,43.11,60.08,5.2,77.69,62.95,16.86,2018,45
IR-2-M-EM-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,43.05,69.87,6.88,65.27,69.14,0.71,2018,46
IR-2-M-OM-C-32873,Lal Bahadur Shastri Institute of Management,Delhi,Delhi,42.99,67.63,2.39,79.92,55.94,4.09,2018,47
IR-6-M-OEMALP-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,42.78,62.2,20.67,52.14,69.5,5.37,2018,48
IR-7-M-OEMALDC-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,42.71,59.39,22.51,68.9,38.93,4.74,2018,49
IR-1-M-M-C-35429,Institute of Management and Entrepreneurship Development,Pune,Maharashtra,42.48,66.16,0.35,69.38,69.64,16.86,2018,50
IR17-MGMT-1-18698,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,78.96,90.71,51.44,90.36,85.77,96.73,2017,1
IR17-MGMT-1-1-217,Indian Institute of Management Bangalore,Bengaluru,Karnataka,78.82,84.48,62.56,91.33,87.05,77.37,2017,2
IR17-MGMT-1-18700,Indian Institute of Management Calcutta,Kolkata,West Bengal,76.6,90.96,48.43,98.27,80.66,70.61,2017,3
IR17-MGMT-1-18704,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,71.58,84.81,45.72,90.61,88.72,54.34,2017,4
IR17-MGMT-1-18703,Indian Institute of Management Kozhikode,Kozhikode,Kerala,65.41,79.51,36.43,89.49,77.49,49.85,2017,5
IR17-MGMT-2-1-79,Indian Institute of Technology Delhi,New Delhi,Delhi,64.51,57.81,83.82,69.82,58.59,22.0,2017,6
IR17-MGMT-2-18630,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,63.12,54.56,70.62,82.38,71.74,19.15,2017,7
IR17-MGMT-2-18677,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,62.46,58.23,72.93,79.69,61.93,9.84,2017,8
IR17-MGMT-1-15637,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,61.08,84.78,23.89,91.33,57.88,44.24,2017,9
IR17-MGMT-1-1-231,Indian Institute of Management Indore,Indore,Madhya Pradesh,59.59,66.15,32.09,88.02,84.78,40.28,2017,10
IR17-MGMT-2-18248,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,57.19,79.59,44.28,68.57,47.06,16.06,2017,11
IR17-MGMT-2-1-NEW5,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,55.74,76.38,24.65,83.04,74.75,13.57,2017,12
IR17-MGMT-1-1-18708,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,55.46,77.37,12.15,85.2,81.63,34.11,2017,13
IR17-MGMT-1-1-348,Indian Institute of Management Raipur,Raipur,Chhattisgarh,54.8,78.16,19.78,84.56,68.88,16.16,2017,14
IR17-MGMT-1-18709,Indian Institute of Management Udaipur,Udaipur,Rajasthan,53.77,74.85,16.11,80.12,90.63,14.11,2017,15
IR17-MGMT-1-16147,Management Development Institute,Gurgaon,Haryana,53.12,78.11,15.84,89.08,53.1,18.11,2017,16
IR17-MGMT-2-18572,Vellore Institute of Technology,Vellore,Tamil Nadu,51.83,59.74,33.97,64.27,79.33,29.36,2017,17
IR17-MGMT-1-1-2809233566,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,51.42,66.39,18.97,88.48,55.65,25.45,2017,18
IR17-MGMT-1-1-350,Indian Institute of Management Rohtak,Rohtak,Haryana,51.16,63.67,26.86,81.84,69.04,7.35,2017,19
IR17-MGMT-1-1-347,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,51.07,77.81,7.97,82.97,75.17,12.26,2017,20
IR17-MGMT-1-18710,Rajiv Gandhi Indian Institute of Management,Shillong,Meghalaya,50.44,78.22,7.68,83.07,66.8,13.84,2017,21
IR17-MGMT-2-1-336,Kalinga Institute of Industrial Technology,Bhubneshwar,Odisha,50.43,69.11,15.48,77.6,70.6,24.83,2017,22
IR17-MGMT-2-18292,Anna University,Chennai,Tamil Nadu,49.81,49.78,61.17,46.32,44.65,27.9,2017,23
IR17-MGMT-1-1-2812245434,"Institute of Management Technology, Ghaziabad",Ghaziabad,Uttar Pradesh,48.77,57.23,27.33,82.51,62.6,6.44,2017,24
IR17-MGMT-1-1-349,Indian Institute of Management Ranchi,Ranchi,Jharkhand,48.7,64.12,7.5,84.81,85.69,16.81,2017,25
IR17-MGMT-1-2811179135,PSG College of Technology,Coimbatore,Tamil Nadu,48.32,61.27,22.24,72.09,59.7,28.79,2017,26
IR17-MGMT-1-1-2813919609,International Management Institute,New Delhi,Delhi,48.23,70.4,17.11,75.72,59.69,8.75,2017,27
IR17-MGMT-2-18500,Banaras Hindu University,Varanasi,Uttar Pradesh,47.96,68.07,16.1,70.78,72.57,12.94,2017,28
IR17-MGMT-1-1-2813047178,Institute of Rural Management Anand,Anand,Gujarat,47.83,67.85,8.1,80.92,82.1,6.51,2017,29
IR17-MGMT-1-18239,Indian Institute of Foreign Trade,New Delhi,Delhi,46.79,55.34,22.58,72.16,55.03,34.93,2017,30
IR17-MGMT-2-18406,Nirma University,Ahmedabad,Gujarat,45.81,71.75,6.29,69.7,62.01,22.63,2017,31
IR17-MGMT-1-1-2811797143,Indian Institute of Forest Management,Bhopal,Madhya Pradesh,44.96,72.47,3.18,69.99,67.37,15.26,2017,32
IR17-MGMT-2-18584,Xavier University,Bhuabaneswar,Odisha,44.85,54.06,21.69,82.08,47.74,9.35,2017,33
IR17-MGMT-2-18385,Narsee Monjee Institute of Management Studies -Mumbai,Mumbai,Maharashtra,44.81,52.22,16.33,76.89,65.04,23.58,2017,34
IR17-MGMT-2-12969,Guru Gobind Singh Indraprastha University,Dwarka,Delhi,44.51,61.43,18.42,70.98,59.7,3.77,2017,35
IR17-MGMT-1-1-2814097839,Fore School of Management,New Delhi,Delhi,44.51,70.46,5.87,80.25,52.79,2.82,2017,35
IR17-MGMT-1-15450,Goa Institute of Management,"Poriem, Sattari",Goa,44.06,66.57,2.75,81.36,65.2,4.69,2017,37
IR17-MGMT-1-16716,Institute for Financial Management and Research,Satyavedu,Andhra Pradesh,43.6,58.43,3.72,83.21,82.79,0.26,2017,38
IR17-MGMT-2-10563,Tezpur University,Tezpur,Assam,43.29,56.73,12.35,75.47,68.95,5.85,2017,39
IR17-MGMT-1-15764,Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development,Pune,Maharashtra,42.85,65.65,2.24,62.89,70.21,28.76,2017,40
IR17-MGMT-1-1-2809771998,K.J. Somaiya Institute of Management Studies & Reserach,Mumbai,Maharashtra,42.17,63.16,5.6,75.52,47.95,16.44,2017,41
IR17-MGMT-2-1-2811092269,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,42.08,58.21,7.06,64.4,71.17,25.0,2017,42
IR17-MGMT-1-1-2812648366,"Jaipuria Institute of Management, Noida",Noida,Uttar Pradesh,41.92,66.3,4.56,75.02,50.06,6.49,2017,43
IR17-MGMT-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA),Thanjavur,Tamil Nadu,41.9,59.91,9.0,71.11,64.32,5.79,2017,44
IR17-MGMT-1-1-2812588086,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,41.76,59.56,6.9,74.88,59.98,8.39,2017,45
IR17-MGMT-1-14004,Prin. L.N. Welingkar Institute of Management Development & Research,Mumbai,Maharashtra,41.27,62.69,5.06,73.72,54.08,7.89,2017,46
